1.0000E+00  2.5370E+03
1.1000E+00  2.5370E+03
1.2000E+00  2.5370E+03
1.4000E+00  2.5370E+03
1.6000E+00  2.5370E+03
1.8000E+00  2.5370E+03
2.0000E+00  2.5370E+03
2.2000E+00  2.5370E+03
2.5000E+00  2.5370E+03
2.8000E+00  2.5370E+03
3.2000E+00  2.5370E+03
3.5000E+00  2.5370E+03
4.0000E+00  2.5370E+03
4.5000E+00  2.5370E+03
5.0000E+00  2.5370E+03
5.5000E+00  2.5370E+03
6.3000E+00  2.5370E+03
7.1000E+00  2.5370E+03
8.0000E+00  2.5370E+03
9.0000E+00  2.5369E+03
1.0000E+01  2.5369E+03
1.1000E+01  2.5369E+03
1.2000E+01  2.5368E+03
1.4000E+01  2.5367E+03
1.6000E+01  2.5366E+03
1.8000E+01  2.5364E+03
2.0000E+01  2.5362E+03
2.2000E+01  2.5360E+03
2.5000E+01  2.5356E+03
2.8000E+01  2.5351E+03
3.2000E+01  2.5343E+03
3.5000E+01  2.5337E+03
4.0000E+01  2.5324E+03
4.5000E+01  2.5310E+03
5.0000E+01  2.5293E+03
5.5000E+01  2.5274E+03
6.3000E+01  2.5241E+03
7.1000E+01  2.5203E+03
8.0000E+01  2.5154E+03
9.0000E+01  2.5095E+03
1.0000E+02  2.5030E+03
1.1000E+02  2.4959E+03
1.2000E+02  2.4882E+03
1.4000E+02  2.4716E+03
1.6000E+02  2.4532E+03
1.8000E+02  2.4334E+03
2.0000E+02  2.4124E+03
2.2000E+02  2.3904E+03
2.5000E+02  2.3561E+03
2.8000E+02  2.3205E+03
3.2000E+02  2.2720E+03
3.5000E+02  2.2351E+03
4.0000E+02  2.1734E+03
4.5000E+02  2.1123E+03
5.0000E+02  2.0522E+03
5.5000E+02  1.9935E+03
6.3000E+02  1.9032E+03
7.1000E+02  1.8175E+03
8.0000E+02  1.7267E+03
9.0000E+02  1.6328E+03
1.0000E+03  1.5459E+03
1.1000E+03  1.4653E+03
1.2000E+03  1.3907E+03
1.4000E+03  1.2571E+03
1.6000E+03  1.1418E+03
1.8000E+03  1.0418E+03
2.0000E+03  9.5458E+02
2.2000E+03  8.7815E+02
2.5000E+03  7.7990E+02
2.8000E+03  6.9779E+02
3.2000E+03  6.0753E+02
3.5000E+03  5.5142E+02
4.0000E+03  4.7414E+02
4.5000E+03  4.1269E+02
5.0000E+03  3.6296E+02
5.5000E+03  3.2211E+02
6.3000E+03  2.7007E+02
7.1000E+03  2.3020E+02
8.0000E+03  1.9540E+02
9.0000E+03  1.6554E+02
1.0000E+04  1.4229E+02
1.1000E+04  1.2381E+02
1.2000E+04  1.0886E+02
1.4000E+04  8.6132E+01
1.6000E+04  7.0103E+01
1.8000E+04  5.8345E+01
2.0000E+04  4.9445E+01
3.0000E+04  2.3225E+01
4.0000E+04  1.3095E+01
5.0000E+04  8.0410E+00
6.0000E+04  5.1246E+00
7.0000E+04  3.2756E+00
8.0000E+04  2.0231E+00
9.0000E+04  1.1319E+00
1.0000E+05  4.7323E-01
