1.0000E+01  2.5369E+03  2.6493E+02  1.0604E+00  5.8955E-01  2.1133E+00  7.3838E+00  1.9549E+00  6.8731E+00  3.6828E-02  1.7953E-02  7.0020E-05  1.4492E-05  7.0556E-05  4.4053E-04  5.9369E-05  3.9604E-04
1.1000E+01  2.5369E+03  2.6491E+02  1.0603E+00  5.8953E-01  2.1132E+00  7.3833E+00  1.9548E+00  6.8727E+00  4.3021E-02  2.0376E-02  7.9639E-05  1.7021E-05  8.2016E-05  5.0165E-04  6.9071E-05  4.5081E-04
1.2000E+01  2.5368E+03  2.6489E+02  1.0603E+00  5.8952E-01  2.1132E+00  7.3827E+00  1.9548E+00  6.8722E+00  4.9480E-02  2.2812E-02  8.9318E-05  1.9657E-05  9.3832E-05  5.6330E-04  7.9087E-05  5.0602E-04
1.4000E+01  2.5367E+03  2.6484E+02  1.0601E+00  5.8947E-01  2.1129E+00  7.3815E+00  1.9546E+00  6.8711E+00  6.3082E-02  2.7683E-02  1.0871E-04  2.5195E-05  1.1830E-04  6.8723E-04  9.9870E-05  6.1696E-04
1.6000E+01  2.5366E+03  2.6478E+02  1.0598E+00  5.8942E-01  2.1127E+00  7.3800E+00  1.9544E+00  6.8697E+00  7.7443E-02  3.2512E-02  1.2799E-04  3.1011E-05  1.4355E-04  8.1080E-04  1.2138E-04  7.2752E-04
1.8000E+01  2.5364E+03  2.6471E+02  1.0595E+00  5.8935E-01  2.1124E+00  7.3783E+00  1.9541E+00  6.8682E+00  9.2407E-02  3.7261E-02  1.4750E-04  3.7107E-05  1.6933E-04  9.3300E-04  1.4337E-04  8.3679E-04
2.0000E+01  2.5362E+03  2.6463E+02  1.0592E+00  5.8927E-01  2.1120E+00  7.3763E+00  1.9538E+00  6.8664E+00  1.0785E-01  4.1907E-02  1.6725E-04  4.3519E-05  1.9592E-04  1.0531E-03  1.6563E-04  9.4414E-04
2.2000E+01  2.5360E+03  2.6454E+02  1.0589E+00  5.8917E-01  2.1116E+00  7.3740E+00  1.9534E+00  6.8644E+00  1.2366E-01  4.6481E-02  1.8711E-04  5.0190E-05  2.2330E-04  1.1719E-03  1.8821E-04  1.0503E-03
2.5000E+01  2.5356E+03  2.6439E+02  1.0583E+00  5.8901E-01  2.1108E+00  7.3703E+00  1.9528E+00  6.8610E+00  1.4789E-01  5.3343E-02  2.1667E-04  6.0570E-05  2.6548E-04  1.3507E-03  2.2307E-04  1.2100E-03
2.8000E+01  2.5351E+03  2.6422E+02  1.0576E+00  5.8881E-01  2.1100E+00  7.3659E+00  1.9521E+00  6.8571E+00  1.7252E-01  6.0143E-02  2.4581E-04  7.1254E-05  3.0834E-04  1.5288E-03  2.5877E-04  1.3690E-03
3.2000E+01  2.5343E+03  2.6396E+02  1.0565E+00  5.8850E-01  2.1086E+00  7.3594E+00  1.9510E+00  6.8512E+00  2.0566E-01  6.9005E-02  2.8383E-04  8.5849E-05  3.6597E-04  1.7619E-03  3.0693E-04  1.5772E-03
3.5000E+01  2.5337E+03  2.6374E+02  1.0556E+00  5.8822E-01  2.1075E+00  7.3538E+00  1.9500E+00  6.8463E+00  2.3056E-01  7.5444E-02  3.1154E-04  9.6953E-05  4.0927E-04  1.9321E-03  3.4309E-04  1.7292E-03
4.0000E+01  2.5324E+03  2.6334E+02  1.0540E+00  5.8769E-01  2.1052E+00  7.3435E+00  1.9481E+00  6.8370E+00  2.7182E-01  8.5779E-02  3.5546E-04  1.1543E-04  4.8078E-04  2.2066E-03  4.0308E-04  1.9742E-03
4.5000E+01  2.5310E+03  2.6289E+02  1.0521E+00  5.8707E-01  2.1027E+00  7.3318E+00  1.9460E+00  6.8266E+00  3.1242E-01  9.5575E-02  3.9657E-04  1.3363E-04  5.5025E-04  2.4682E-03  4.6214E-04  2.2077E-03
5.0000E+01  2.5293E+03  2.6239E+02  1.0500E+00  5.8635E-01  2.0998E+00  7.3188E+00  1.9435E+00  6.8150E+00  3.5211E-01  1.0472E-01  4.3493E-04  1.5143E-04  6.1722E-04  2.7139E-03  5.1934E-04  2.4270E-03
5.5000E+01  2.5274E+03  2.6184E+02  1.0477E+00  5.8555E-01  2.0965E+00  7.3047E+00  1.9408E+00  6.8023E+00  3.9068E-01  1.1320E-01  4.7067E-04  1.6873E-04  6.8142E-04  2.9429E-03  5.7428E-04  2.6314E-03
6.3000E+01  2.5241E+03  2.6089E+02  1.0438E+00  5.8410E-01  2.0907E+00  7.2798E+00  1.9358E+00  6.7801E+00  4.4975E-01  1.2552E-01  5.2270E-04  1.9525E-04  7.7830E-04  3.2774E-03  6.5736E-04  2.9301E-03
7.1000E+01  2.5203E+03  2.5984E+02  1.0394E+00  5.8244E-01  2.0841E+00  7.2524E+00  1.9303E+00  6.7556E+00  5.0530E-01  1.3639E-01  5.6827E-04  2.2002E-04  8.6780E-04  3.5751E-03  7.3432E-04  3.1961E-03
8.0000E+01  2.5154E+03  2.5856E+02  1.0341E+00  5.8034E-01  2.0759E+00  7.2189E+00  1.9233E+00  6.7256E+00  5.6342E-01  1.4713E-01  6.1244E-04  2.4558E-04  9.5889E-04  3.8712E-03  8.1385E-04  3.4608E-03
9.0000E+01  2.5095E+03  2.5704E+02  1.0278E+00  5.7776E-01  2.0658E+00  7.1788E+00  1.9148E+00  6.6898E+00  6.2445E-01  1.5725E-01  6.5393E-04  2.7123E-04  1.0486E-03  4.1529E-03  8.9295E-04  3.7129E-03
1.0000E+02  2.5030E+03  2.5543E+02  1.0210E+00  5.7493E-01  2.0549E+00  7.1361E+00  1.9055E+00  6.6516E+00  6.8251E-01  1.6566E-01  6.8831E-04  2.9409E-04  1.1272E-03  4.3896E-03  9.6260E-04  3.9250E-03
1.1000E+02  2.4959E+03  2.5373E+02  1.0140E+00  5.7189E-01  2.0433E+00  7.0912E+00  1.8956E+00  6.6114E+00  7.3736E-01  1.7263E-01  7.1653E-04  3.1427E-04  1.1957E-03  4.5877E-03  1.0237E-03  4.1028E-03
